Unnamed: 0,SARSA,SARSA Lambda,Q-learning,R-Learning
286,-747.32,-747.66,-743.31,-754.35
287,-747.68,-746.94,-749.05,-755.34
288,-748.49,-746.85,-748.78,-753.9
289,-742.05,-746.22,-748.6,-753.54
290,-741.06,-746.04,-748.42,-753.9
291,-742.12,-744.78,-748.6,-753.9
292,-741.49,-745.32,-748.96,-754.08
293,-742.66,-746.49,-747.97,-754.89
294,-742.75,-742.62,-746.53,-753.81
295,-739.04,-741.45,-745.72,-753.63
296,-738.05,-741.81,-744.19,-754.8
297,-737.69,-741.0,-744.01,-753.81
298,-737.96,-740.91,-744.1,-751.65
299,-737.96,-741.18,-744.1,-751.11
300,-738.05,-739.38,-745.54,-751.29
301,-737.42,-739.56,-745.63,-751.11
302,-737.51,-740.28,-739.42,-752.28
303,-738.14,-740.91,-737.8,-752.37
304,-740.74,-740.82,-737.53,-751.38
305,-740.74,-739.65,-737.44,-751.47
306,-739.84,-738.57,-739.68,-748.4
307,-740.47,-737.94,-740.04,-748.94
308,-739.33,-738.39,-740.85,-747.32
309,-738.79,-739.02,-739.05,-745.7
310,-737.8,-739.29,-738.87,-746.33
311,-739.78,-737.76,-738.24,-746.42
312,-738.88,-737.04,-733.2,-745.52
313,-738.34,-736.59,-733.74,-745.07
314,-739.33,-740.33,-734.19,-745.97
315,-737.98,-741.95,-733.2,-745.34
316,-737.08,-743.48,-732.66,-747.14
317,-737.35,-743.48,-733.02,-748.04
318,-737.89,-743.21,-733.65,-748.22
319,-737.98,-744.02,-734.73,-747.68
320,-735.82,-743.48,-734.28,-747.59
321,-736.0,-743.39,-733.92,-749.3
322,-737.35,-742.94,-732.75,-748.4
323,-738.52,-743.33,-733.2,-748.04
324,-738.7,-744.08,-732.93,-747.14
325,-737.62,-743.54,-730.95,-746.96
326,-736.9,-743.81,-730.95,-747.05
327,-736.54,-743.0,-730.32,-746.96
328,-736.54,-744.52,-731.92,-747.05
329,-737.53,-744.52,-731.47,-747.14
330,-739.42,-746.23,-730.75,-746.78
331,-740.59,-745.33,-732.55,-747.32
332,-740.95,-743.32,-733.27,-748.04
333,-745.08,-743.23,-733.54,-746.6
334,-746.43,-742.69,-731.67,-745.61
335,-745.89,-744.13,-732.12,-745.88
336,-753.12,-743.41,-731.22,-746.42
337,-752.85,-745.82,-731.4,-745.79
338,-752.76,-746.09,-730.09,-746.51
339,-752.85,-746.0,-730.63,-746.87
340,-752.85,-746.99,-730.9,-746.24
341,-753.57,-747.17,-731.44,-746.69
342,-752.94,-745.28,-728.54,-744.89
343,-753.03,-744.29,-729.71,-744.26
344,-751.41,-744.83,-728.9,-743.72
345,-751.77,-746.0,-728.27,-743.36
346,-752.94,-747.17,-727.28,-745.07
347,-754.29,-746.18,-728.09,-745.34
348,-754.11,-746.09,-729.26,-747.32
349,-752.85,-746.36,-728.45,-747.68
350,-753.21,-747.8,-729.08,-747.41
351,-753.39,-746.72,-728.27,-751.32
352,-752.58,-747.44,-727.37,-751.5
353,-751.95,-748.16,-729.47,-752.49
354,-753.21,-748.43,-728.35,-753.21
355,-753.12,-749.24,-728.71,-753.3
356,-753.39,-749.87,-728.08,-750.87
357,-753.3,-748.97,-726.91,-750.96
358,-752.13,-742.72,-726.91,-751.5
359,-751.95,-743.03,-727.36,-750.96
360,-751.5,-743.84,-727.36,-751.77
361,-749.81,-741.95,-719.56,-751.5
362,-750.08,-742.04,-720.91,-752.76
363,-748.91,-743.03,-721.45,-752.67
364,-747.04,-744.56,-721.0,-751.86
365,-747.94,-742.85,-720.01,-751.86
366,-748.39,-742.04,-721.72,-751.59
367,-748.03,-743.48,-720.46,-751.41
368,-747.13,-742.94,-719.38,-750.96
369,-746.68,-744.11,-718.46,-750.96
370,-746.32,-745.82,-719.63,-750.51
371,-747.49,-745.34,-719.0,-751.23
372,-746.85,-746.42,-719.18,-749.34
373,-745.68,-746.15,-720.51,-748.35
374,-746.58,-747.41,-720.15,-747.63
375,-744.96,-747.32,-719.97,-747.54
376,-745.14,-747.77,-720.42,-747.12
377,-745.59,-747.77,-720.69,-745.39
378,-745.86,-747.14,-725.88,-744.76
379,-746.49,-748.09,-726.15,-745.12
380,-744.33,-748.27,-727.23,-744.58
381,-744.42,-749.08,-727.23,-744.4
382,-747.55,-748.72,-726.42,-746.11
383,-748.27,-748.36,-726.51,-745.75
384,-747.73,-748.9,-728.4,-747.1
385,-746.92,-750.43,-728.13,-748.27
386,-746.92,-751.87,-728.85,-749.18
387,-746.2,-752.32,-729.21,-749.27
388,-744.94,-752.59,-728.22,-749.27
389,-749.13,-753.76,-727.5,-750.44
390,-749.49,-753.31,-728.04,-749.27
391,-749.85,-754.21,-727.59,-750.44
392,-749.31,-753.31,-727.68,-750.89
393,-749.31,-751.96,-727.95,-748.82
394,-748.41,-756.1,-727.68,-748.91
395,-750.5,-756.55,-727.23,-748.01
396,-751.49,-756.01,-727.23,-747.47
397,-751.94,-755.65,-727.86,-748.46
398,-751.94,-751.79,-727.68,-748.82
399,-750.86,-752.87,-727.77,-750.89
400,-750.77,-753.41,-726.15,-749.27
401,-751.4,-752.87,-726.06,-748.1
402,-752.3,-751.27,-732.27,-747.56
403,-750.32,-750.01,-733.26,-744.45
404,-750.05,-749.65,-732.12,-744.72
405,-750.14,-750.28,-731.4,-745.44
406,-750.41,-750.46,-731.76,-748.51
407,-750.41,-750.1,-730.5,-747.25
408,-750.65,-749.2,-729.6,-747.61
409,-751.37,-749.11,-729.42,-748.51
410,-752.0,-747.31,-730.41,-746.89
411,-750.74,-747.58,-730.77,-747.25
412,-751.64,-747.76,-734.01,-746.89
413,-752.18,-748.21,-732.48,-747.07
414,-751.46,-747.67,-731.58,-745.9
415,-750.83,-746.23,-731.85,-745.63
416,-751.55,-744.97,-733.65,-744.73
417,-750.11,-744.1,-733.65,-744.28
418,-750.29,-743.83,-733.65,-744.82
419,-750.47,-742.75,-731.85,-744.1
420,-751.28,-743.74,-728.88,-742.93
421,-750.74,-743.29,-729.42,-742.12
422,-750.29,-741.76,-730.32,-742.39
423,-751.1,-741.76,-728.88,-741.22
424,-750.92,-741.4,-729.87,-742.03
425,-751.19,-742.66,-730.05,-743.29
426,-750.92,-742.12,-728.7,-743.02
427,-750.43,-742.03,-729.06,-741.85
428,-750.97,-741.67,-727.8,-741.13
429,-750.88,-740.14,-728.16,-740.68
430,-748.99,-737.89,-728.88,-739.86
